,vid_id,iou
269,_R-jA9hOFCE,0.01695700280075594
270,Ws5jA8cMKas,0.017224673066648925
271,GcE-0A4Titg,0.01727985857008762
272,elgmPvU19K8,0.01728213477645259
273,2Sev8z4P7pE,0.01731947926591583
274,dpS_S4Zi2Po,0.017334166122976682
275,XyQSmMYbP6o,0.01750682731001715
276,B_PhHrBEeNI,0.017618463163503073
277,gFv3PrFkeL0,0.0177278215066251
278,fU-kGMQ68jg,0.018909812243827186
279,94wjthSzsSQ,0.018909864934472186
280,AFdqkU6FyqY,0.01896596260714629
281,9-yueOtwiL8,0.019095352275857482
282,uz04njTFKP8,0.01910135625393543
283,fOuFF7dGPtI,0.01970594206922524
284,WtWw-GNpr4E,0.019876742607776738
285,f-JfdEfNQlE,0.019954130555422275
286,KbbEbeCJTJg,0.020690140528143202
287,kt3hzGla8r4,0.020862530635110548
288,bEcSrzeCGyA,0.021034110918534344
289,rWDMssiL7hE,0.021965066648827067
290,KEJP4Uxa5m0,0.022018410773993274
291,feWO_gqAcGk,0.022217033228650932
292,AT_pPlJTiyE,0.022286607714893138
293,od9EdcDcByA,0.022515923990393826
294,4NSWcmO_u4I,0.022918726384811038
295,61wzTjdnXe4,0.023228268121168915
296,KiKZEKwn4Aw,0.023448217764975934
297,aa5jHg4E3O0,0.02358291820226569
298,LPV3n9LeQ80,0.02359956017454355
299,bPZRYmr7p1k,0.023639549316014797
300,x6Gs4PINiiI,0.02387762259681003
301,Tzm6TEManmQ,0.024000856408502653
302,O_tZAD_opA4,0.024265739832293458
303,mC_8ckG6WpU,0.02450198185564471
304,p7j6yY99vEg,0.025072501275868395
305,nXNczyQpljQ,0.025161755112960548
306,fZQS02Ypca4,0.025162553754444122
307,swmNnPkPBek,0.025193005147399927
308,7JoYkshshVI,0.025212946025043138
309,qaB0igbuKuQ,0.025272046594205348
310,J2gJYNO2qh8,0.025334085939797857
311,Uc0Z2tuIJVA,0.026483802494498884
312,W8XwSNt8P5A,0.02659187155091487
313,s2VpBgSWIPg,0.026592064721071684
314,7xpkFhlxo2Q,0.026786646663179897
315,vWde8sMxe1w,0.026787868540511725
316,kUQ4bTeoG-Y,0.026897390657830263
317,biyf6Q-xF0M,0.027530436041706564
318,GP2S0V5NiPs,0.027625989786094804
319,sZ95YHZtVCc,0.027857470743758956
320,u9YrRYp2t3I,0.02800221124713268
321,TaLEPzEyZ34,0.028320604375808252
322,XBO6AIdaCzU,0.028364794512375023
323,LnMvFpR0xCY,0.028517075475292888
324,B1DNoole3Wo,0.028518390753069733
325,ELiXlJUBzzw,0.02865404237044099
326,FMVECEaQ0Jo,0.028819934225248908
327,OUpTPRtEITY,0.0290246000297483
328,3G1T_V102GA,0.029152901696275445
329,E5zIMqTj4nc,0.029293764036352213
330,J3DxJ8gI95U,0.02936551488664169
331,sMVf7HDvsEc,0.029880731608247127
332,MFow119nrOk,0.0300722612197825
333,7-u3OI6HDns,0.03019409983729923
334,H1bmoIihWwo,0.030200387095947665
335,e8MK2naV6E8,0.03024560615474926
336,5F4jcV8dHVs,0.030767131817434554
337,bOUtD3leN0E,0.0307901720825674
338,6ChRD-1NwSg,0.031200649189093134
339,dSF2i1OQtMc,0.031201121402644017
340,iiqaJGokpEw,0.03144865760287023
341,JDg--pjY5gg,0.03149762988849043
342,x8cuLOUppmU,0.03151813327572984
343,jCB1EC3RzWI,0.03166645265641819
344,6PnPu_cLCvE,0.03179485187735642
345,-2VzSMAdzl4,0.03226501915851529
346,JcMOzfurtK4,0.032369719357204244
347,bqnRA6rZcqs,0.03245307229161001
348,p3PEMCN4h_g,0.03257103151057656
349,-l16smV_uYg,0.03259232993670286
350,RX-9yj3PkYI,0.03299764455156906
351,SqEHpHNuy-w,0.033092045058160456
352,gt2Sp_iG2hU,0.033192743743593406
353,GsR4fagoV-Q,0.03343098744773034
354,A3a6MNgab0c,0.03388781303634649
355,m3yLm_dJU94,0.03391498695514172
356,OAot8XBeLrs,0.03405260562756868
